Week_ending_Friday,Dubai,Cost,Price,Margin
4/23/2004,50.74,48.6,114.5,13.9
4/30/2004,52.16,52.2,113,11.8
5/7/2004,52.94,53.3,117.3,13.8
5/14/2004,56.55,56.4,121.9,14.2
5/21/2004,59.4,54.3,121.3,12.6
5/28/2004,56.68,53.7,123.9,11.8
6/4/2004,56.13,49.4,123.6,13.6
6/11/2004,53.3,48.2,120.6,11.5
6/18/2004,53.12,47.7,118.6,14.1
6/25/2004,53.45,44.6,116.9,13.7
7/2/2004,50.51,47.3,114.5,12.2
7/9/2004,52.78,48.3,112.9,13.8
7/16/2004,52.52,48.9,113.9,12
7/23/2004,53.44,51.3,115.8,12.7
7/30/2004,55.75,53.1,118,14
8/6/2004,57.74,53.2,120.6,14
8/13/2004,58.39,53.9,121.9,13.3
8/20/2004,59.77,52.8,121.9,13.2
8/27/2004,60.34,50.1,121.9,12.5
9/3/2004,55.91,49.3,121.8,13.5
9/10/2004,53.79,49.9,119.9,14.6
9/17/2004,52.45,51.6,119.9,15.3
9/24/2004,53.21,52.7,120,14.8
10/1/2004,55.57,53.5,120.9,13.8
10/8/2004,56.14,55.4,120.9,12.8
10/15/2004,55.47,53.2,122.3,13.3
10/22/2004,54.58,53.6,125,13.8
10/29/2004,54.03,51.8,123.3,14.4
11/5/2004,53.31,51.3,121.9,12.8
11/12/2004,50.71,49,121,13.8
11/19/2004,47.01,50.4,119.6,13
11/26/2004,47.37,48.1,118.3,14.2
12/3/2004,49.53,42.3,120.6,14.9
12/10/2004,46.35,42.8,113.9,11.2
12/17/2004,47.81,43.1,109.9,13.4
12/24/2004,50.46,41.5,112.1,14.9
12/31/2004,46.51,42.5,112.5,14.9
1/7/2005,49.18,45,110.5,14.3
1/14/2005,52.94,48.4,113.6,16.5
1/21/2005,56.19,49.1,117.2,17.2
1/28/2005,56.5,48.5,118.2,14.7
2/4/2005,54.53,49.1,118.9,14.6
2/11/2005,54.21,51.7,117.6,14
2/18/2005,55.09,54.7,116.5,12.4
2/25/2005,56.65,54.7,119.2,12.3
3/4/2005,59.11,55.7,120.2,10.2
3/11/2005,60.59,54.5,121.9,11.7
3/18/2005,62.36,55.3,122.2,10.9
3/25/2005,65.16,57.4,121.8,11.8
4/1/2005,65.95,61.2,124.7,12.7
4/8/2005,70.16,58.5,129.5,10.8
4/15/2005,64.96,57.9,129.5,7
4/22/2005,62.65,55.6,129.5,9.7
4/29/2005,65.03,51.4,129.5,10.2
5/6/2005,62.71,51.6,127.2,10.5
5/13/2005,62.53,50.5,123.9,11.8
5/20/2005,62.73,51.7,123.6,11.3
5/27/2005,63.64,53.7,120.9,10
6/3/2005,67.08,54.9,121.8,9.5
6/10/2005,69.48,56.9,124.6,10.1
6/17/2005,71.05,58.6,127.6,11.5
6/24/2005,70.78,59.3,131,12.6
7/1/2005,75.84,64.4,132.2,12.3
7/8/2005,79.41,62.3,132.2,10.5
7/15/2005,80.02,63.3,133.2,6.4
7/22/2005,75.8,64.5,135.8,10.7
7/29/2005,75.92,65.9,137.9,11.6
8/5/2005,79.61,69.1,138.8,11.2
8/12/2005,80.11,68.3,141,11.8
8/19/2005,81.24,71,143.9,11.2
8/26/2005,81.33,79.5,144.5,12.5
9/2/2005,84.3,79.5,150,14.7
9/9/2005,81.01,78.1,154.2,9.9
9/16/2005,78.6,74.1,153.6,10.7
9/23/2005,81.2,74.6,151.9,13.3
9/30/2005,81.83,73.4,151.9,12.8
10/7/2005,80.54,71,151.9,13.9
10/14/2005,77.75,70.4,149.8,14.4
10/21/2005,77.18,67.7,148.3,13.7
10/28/2005,75.19,62.7,142.5,11.3
11/4/2005,75.95,62.5,139.9,14
11/11/2005,77.73,62.2,139.9,14.2
11/18/2005,74.04,60.1,137.8,12.6
11/25/2005,73.1,58.4,136.9,13.9
12/2/2005,71.98,54.7,135.3,14.2
12/9/2005,74.99,57,131.9,14.9
12/16/2005,77.88,60,132.5,13.1
12/23/2005,77.23,59.1,135.9,13.2
12/30/2005,76.85,60.1,135.9,14
1/6/2006,80.96,65.3,136.8,13.8
1/13/2006,82.67,63.6,141,12.4
1/20/2006,84.88,65.8,141.9,14.9
1/27/2006,88.1,66.3,145.3,15.8
2/3/2006,88.3,64.3,145.8,15.6
2/10/2006,86.74,63.3,143.2,15.3
2/17/2006,83.53,62.6,141.9,15.2
2/24/2006,84.37,66.5,144.5,18.1
3/3/2006,86.94,67.1,147.9,17.3
3/10/2006,88.94,68,149.2,17.8
3/17/2006,89.14,70.1,149.5,17.2
3/24/2006,91.2,71.7,151.8,17.1
3/31/2006,95.74,76.3,155.2,18.6
4/7/2006,100.02,79.1,156.2,14.1
4/14/2006,102.16,83.4,159.3,14.1
4/21/2006,104.64,86.7,164.5,14.5
4/28/2006,105.35,87.3,168.8,15
5/5/2006,104.65,92,170.9,16.2
